system	BLEU	PINC	corpus
16and7plays_36LM	28.25	34.81	1
16and7plays_36LM_mert	27.95	27.41	1
16and7plays_16LM	27.87	35.1	1
16and7plays_16LM_mert	28.24	16.58	1
16plays_36LM	28.4	35.14	1
16plays_36LM_mert	27.74	23.23	1
modern (no change)	24.67	0	1
phrase2.1	20.05	38.03	1
16and7plays_36LM	53.18	24.08	2
16and7plays_36LM_mert	54.44	19.26	2
16and7plays_16LM	52.75	25.82	2
16and7plays_16LM_mert	54.26	18.54	2
16plays_36LM	50.91	26.15	2
16plays_36LM_mert	52.94	15.69	2
modern (no change)	52.3	0	2
phrase2.2	39.06	31.89	2
